id,name,type,latitude,longitude,current_h2_demand_kt_year,potential_h2_demand_kt_year,export_destination,export_direction,transport_mode,port_name,distance_km,delivered_price,transport_cost,market_size_mt,target_year
export_1,Kuryk Port - Europe Export,export,45.0,49.5,0,2000,Europe,west,Ship/Ammonia,Kuryk,3500,6,2,50,2030
export_2,Pavlodar - Russia Export,export,53.9,77.0,50,500,Russia,north,Pipeline/Ship,Pavlodar Terminal/Ertis,1500,4.5,1,10,2028
export_3,Alakol/Khorgos - China Export,export,46.0,82.7,0,3000,China,east,Pipeline,Dostyk/Alakol/Khorgos,2000,5,1.5,100,2030
